ts,x,y,a,x2,y2
3032,0.0,0.0,124,58.1818181818,-40.7272727273
3130,0.0,0.0,125,57.8181818182,-40.7272727273
3185,0.0,0.0,125,57.8181818182,-40.7272727273
3233,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
3283,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
3333,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
3380,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
3431,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
3481,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
3532,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
3581,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
3629,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
3678,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
3726,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
3775,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
3823,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
3873,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
3929,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
3979,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
4028,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
4077,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
4127,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
4179,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
4229,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
4277,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
4327,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
4375,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
4438,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
4489,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
4540,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
4590,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
4641,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
4693,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
4746,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
4797,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
4853,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
4902,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
4953,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
5004,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
5055,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
5105,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
5155,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
5205,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
5254,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
5305,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
5355,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
5405,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
5456,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
5504,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
5552,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
5601,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
5653,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
5704,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
5753,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
5801,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
5851,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
5900,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
5948,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
5996,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
6043,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
6092,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
6140,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
6188,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
6236,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
6285,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
6332,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
6380,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
6429,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
6480,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
6530,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
6580,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
6630,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
6680,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
6731,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
6784,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
6836,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
6889,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
6942,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
6992,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
7047,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
7099,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
7155,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
7207,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
7260,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
7313,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
7366,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
7419,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
7471,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
7520,-0.363636363636,0.0,124,57.8181818182,-40.7272727273
7573,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
7625,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
7674,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
7722,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
7770,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
7819,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
7870,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
7921,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
7972,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
8021,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
8069,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
8119,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
8167,-0.363636363636,0.0,124,58.1818181818,-40.7272727273
